sentence,course,program
Stand-alone and grid-connected systems.,EE-520,Electrical Engineering
Life Cycle Assessment and Recycling of Solar PV equipment.,EE-520,Electrical Engineering
"Economic, policy and sustainability issues.",EE-520,Electrical Engineering
Principles of antenna theory.,EE-533,Electrical Engineering
"Antenna parameters, radiation integrals.",EE-533,Electrical Engineering
Duality and reciprocity theorems.,EE-533,Electrical Engineering
Wire antennas.,EE-533,Electrical Engineering
Antenna arrays.,EE-533,Electrical Engineering
Traveling wave antennas.,EE-533,Electrical Engineering
Broadband and frequency independent antennas.,EE-533,Electrical Engineering
Aperture and reflector antennas.,EE-533,Electrical Engineering
Microstrip antennas.,EE-533,Electrical Engineering
Antenna design.,EE-533,Electrical Engineering
Design of electronic systems and subsystems using analog and digital integrated circuits.,EE-409,Electrical Engineering
Design principles and techniques.,EE-409,Electrical Engineering
Analysis and design of feedback amplifiers; operational amplifier applications.,EE-409,Electrical Engineering
Design of analog/digital and digital/analog converters.,EE-409,Electrical Engineering
Power supply design.,EE-409,Electrical Engineering
Emphasis on IC implementation.,EE-409,Electrical Engineering
"Elementary particles and their interactions, fundamental forces, the Standard Model of particle physics.",PHYS-403,Electrical Engineering
"Symmetries and conservation laws including parity, charge conjugation, and time reversal invariance, as well as charge-parity violation.",PHYS-403,Electrical Engineering
"Dirac equation, quantum electrodynamics, and Feynman diagrams.",PHYS-403,Electrical Engineering
Advanced nuclear physics.,PHYS-403,Electrical Engineering
"Topics may include decays, symmetries of the quark model, neutrinos, nucleosynthesis, and the quark-gluon plasma.",PHYS-403,Electrical Engineering
Design of modern electronic amplifiers and amplifier systems with advanced techniques.,EE-405,Electrical Engineering
"UHF and microwave small signal amplifier design utilizing microstrip transmission lines, S parameters of GaAs FET, and bipolar transistors.",EE-405,Electrical Engineering
"Low noise, broadband, and power amplifier designs.",EE-405,Electrical Engineering
Oscillator designs.,EE-405,Electrical Engineering
"Fundamental topics in statistical pattern recognition including Bayesian decision theory, Maximum-likelihood and Bayesian estimation, non-parametric density estimation, feature selection, dimension reduction, and clustering, with application to image pattern recognition.",EE-516,Electrical Engineering
Wireless microwave system design and analysis.,EE-480,Electrical Engineering
"RF transmission lines, microwave networks, receiver design, modulation techniques, and mixer characterization and realizations.",EE-480,Electrical Engineering
"Noise and distortion, RF oscillators and frequency synthesizers, filter design.",EE-480,Electrical Engineering
"Radiating systems and electromagnetic wave propagation, microwave amplifier design.",EE-480,Electrical Engineering
Introduction to modern fiber optics and photonics.,EE-403,Electrical Engineering
"Lens systems, photodiodes, LEDs, laser diodes, transmitter and receiver design, diffraction, interference, optical signal processing, propagation of light in optical fibers.",EE-403,Electrical Engineering
